customer_id,name,age,gender,city,income,spending_score,tenure,favorite_product,churn
1,Jacqueline Orr,28,Female,Chennai,49026,57,46,Camera,0
2,Nathan Pena,40,Male,Bangalore,110311,89,46,Headphones,0
3,Jose Arroyo,57,Male,Pune,134479,10,21,Laptop,0
4,Martin Gonzalez,60,Male,Bangalore,20720,72,59,Watch,0
5,Daniel Miller,45,Male,Delhi,53236,30,42,Headphones,0
6,James Jones,49,Female,Delhi,129511,69,34,Tablet,0
7,Javier Caldwell,51,Female,Hyderabad,44521,28,2,Laptop,1
8,Jennifer Warren,33,Female,Delhi,139475,91,43,Tablet,0
9,Christopher Mathis,42,Female,Pune,110836,73,50,Laptop,0
10,Jason Holder,19,Male,Bangalore,137669,47,17,Laptop,0
11,Jennifer Carter,25,Female,Bangalore,135263,72,15,Camera,0
12,Ronald Ibarra,18,Male,Bangalore,136249,28,53,Watch,0
13,Matthew Jones,38,Female,Hyderabad,109710,7,19,Phone,0
14,Alicia Roberts,51,Male,Delhi,71952,14,13,Phone,0
15,Stephanie Ryan,55,Male,Pune,59205,80,18,Laptop,0
16,Jeffrey Warner,21,Male,Hyderabad,86968,43,57,Phone,0
17,Sara Cervantes,29,Male,Pune,148618,28,18,Laptop,0
18,Stephen Stewart,22,Male,Bangalore,102459,99,22,Phone,0
19,Erica Harris,40,Male,Hyderabad,25776,87,6,Watch,0
20,Terrance Lawrence,33,Female,Hyderabad,111029,25,53,Tablet,0
21,Kristin Moore,54,Male,Hyderabad,65836,17,52,Camera,0
22,Sarah Hernandez,25,Male,Bangalore,20649,91,53,Camera,0
23,Joel Duran,57,Male,Hyderabad,139112,67,19,Phone,0
24,Jacob Combs,50,Male,Chennai,119191,93,26,Laptop,0
25,William Brown,60,Female,Chennai,48548,86,21,Camera,0
26,Shane Higgins,21,Male,Hyderabad,47393,76,54,Headphones,0
27,Denise Brown,23,Female,Delhi,89682,79,24,Phone,0
28,Joan Pineda,39,Female,Bangalore,41123,59,1,Watch,0
29,Andrew Vargas,38,Male,Hyderabad,119767,96,13,Headphones,0
30,Mary Stewart,48,Male,Mumbai,33031,27,39,Camera,0
31,Travis Rangel,57,Male,Mumbai,146037,57,11,Tablet,0
32,Daniel Richards,32,Female,Bangalore,111223,7,50,Watch,0
33,Sherri Yoder,39,Female,Pune,141670,20,13,Headphones,0
34,Natasha Johnston,56,Male,Pune,38573,12,25,Tablet,0
35,Jennifer Sparks,30,Male,Bangalore,91384,8,52,Laptop,0
36,Thomas Blair,54,Female,Pune,62009,80,55,Phone,0
37,Laura Steele,58,Female,Bangalore,48750,85,49,Phone,0
38,Maria Martinez,33,Female,Bangalore,116614,83,39,Headphones,0
39,Ernest Hardin,25,Male,Bangalore,63691,41,25,Watch,0
40,Laura Floyd,55,Female,Pune,112048,62,58,Camera,0
41,Danielle Crawford,42,Female,Bangalore,78043,98,45,Phone,0
42,Amy Simmons,45,Male,Chennai,42766,69,14,Laptop,0
43,Lawrence Parker,57,Male,Delhi,116416,25,40,Phone,0
44,Elizabeth Parker,24,Female,Mumbai,104177,58,33,Headphones,0
45,Emily Page,52,Male,Mumbai,45980,96,3,Camera,0
46,Travis Hunter,54,Male,Mumbai,118249,7,16,Laptop,0
47,Jacob Green,57,Female,Mumbai,38335,83,9,Phone,0
48,Haley Thompson,36,Male,Delhi,89735,97,35,Headphones,0
49,Jennifer Walter,38,Female,Bangalore,86673,24,42,Watch,0
50,Natasha Foster,59,Female,Mumbai,103742,62,48,Phone,0
51,Dustin Cook,49,Male,Hyderabad,55073,47,43,Tablet,0
52,Wesley Mitchell,49,Female,Bangalore,79868,26,28,Tablet,0
53,Steven Brooks,30,Female,Mumbai,46516,24,53,Watch,0
54,Donna Nunez,28,Female,Pune,108742,67,26,Headphones,0
55,Andrew Hunter,34,Male,Chennai,33080,25,35,Phone,0
56,Dr. Kathleen Giles,60,Male,Hyderabad,58607,38,3,Laptop,1
57,Destiny Cortez,25,Female,Mumbai,54590,31,21,Tablet,0
58,Brandon Kelly,19,Female,Delhi,69494,87,31,Camera,0
59,Heather Cardenas,30,Male,Mumbai,123887,100,5,Laptop,0
60,Jeffrey Bell,31,Male,Mumbai,131064,82,22,Camera,0
61,Alexander Chapman,52,Male,Pune,38120,72,25,Laptop,0
62,Rachel Wheeler,49,Male,Chennai,43076,16,47,Tablet,0
63,Danielle Johnson,31,Female,Pune,88801,4,23,Laptop,0
64,Danny Davis,18,Female,Chennai,129399,73,17,Camera,0
65,David Martin,32,Male,Mumbai,127368,98,1,Camera,0
66,Jessica Fitzgerald,41,Female,Hyderabad,141119,88,60,Camera,0
67,Timothy Lawrence,23,Female,Mumbai,131374,99,46,Headphones,0
68,Diana Nelson,27,Female,Mumbai,38637,60,54,Watch,0
69,Tammy Palmer,21,Male,Bangalore,54496,63,24,Tablet,0
70,Monica Munoz,33,Female,Chennai,38192,74,23,Watch,0
71,Brent Thomas,48,Male,Delhi,34450,7,29,Laptop,0
72,Jason Wilson,59,Male,Delhi,123316,23,41,Tablet,0
73,Brianna Dougherty,22,Female,Mumbai,99422,7,35,Watch,0
74,Kristina Sanchez,51,Female,Mumbai,138435,9,17,Camera,0
75,Mark Rivera,37,Male,Delhi,54665,19,26,Headphones,0
76,Laurie Young,19,Male,Delhi,140895,38,46,Headphones,0
77,Toni Anderson,47,Female,Bangalore,39565,40,24,Watch,0
78,Crystal Carrillo,60,Male,Pune,56218,75,14,Tablet,0
79,Vincent Oneill,50,Male,Mumbai,62947,75,15,Watch,0
80,Lindsay Chambers,50,Female,Bangalore,120195,29,24,Laptop,0
81,Deborah Ryan,59,Male,Delhi,28105,52,20,Laptop,0
82,Karen Alexander,21,Female,Bangalore,144040,96,28,Watch,0
83,Larry Smith,45,Male,Delhi,58499,13,59,Watch,0
84,Randy Morris,30,Female,Mumbai,101315,63,34,Headphones,0
85,Richard Carey,52,Female,Chennai,41994,19,7,Headphones,1
86,Nicole Wilson,23,Male,Hyderabad,138137,69,51,Laptop,0
87,Louis Williams,37,Female,Pune,139932,11,49,Phone,0
88,Amy Smith,59,Male,Bangalore,40795,61,58,Camera,0
89,Kelly Duncan,42,Male,Mumbai,50042,19,29,Watch,0
90,Erin Hampton,44,Male,Chennai,134158,27,5,Headphones,1
91,Erin Duncan,57,Female,Pune,141354,65,41,Headphones,0
92,David Nelson,19,Male,Chennai,36172,38,24,Watch,0
93,Andrea Harper,18,Male,Pune,59381,1,8,Tablet,1
94,David White,57,Female,Pune,69878,92,18,Watch,0
95,Christopher Gonzalez,18,Female,Mumbai,149012,83,10,Watch,0
96,Monica Livingston,36,Male,Chennai,126744,21,28,Tablet,0
97,David Young,29,Female,Mumbai,24387,53,2,Phone,0
98,Kelly Mendoza,51,Male,Delhi,130592,58,49,Tablet,0
99,Todd Vaughn,24,Male,Mumbai,55360,36,37,Watch,0
100,Alexis Watts,34,Male,Bangalore,127950,86,44,Phone,0
101,Mr. Justin King,21,Male,Bangalore,117652,52,32,Phone,0
102,Pamela Hendricks,51,Male,Mumbai,140820,42,30,Tablet,0
103,Jamie Smith,43,Female,Chennai,116015,51,10,Camera,0
104,Lauren Fitzgerald,41,Male,Pune,28881,91,48,Phone,0
105,Mary Brock,18,Female,Pune,76001,33,18,Laptop,0
106,Jennifer Wells,39,Male,Mumbai,118786,65,52,Phone,0
107,Pamela Harrison,25,Female,Pune,117756,45,39,Camera,0
108,Jessica Love,28,Male,Hyderabad,77893,12,34,Phone,0
109,David Barton,45,Male,Hyderabad,93079,61,52,Camera,0
110,Darryl Mcneil,29,Female,Delhi,69013,99,39,Phone,0
111,Antonio Riley,40,Female,Hyderabad,41042,91,16,Laptop,0
112,Amanda Goodwin,25,Male,Bangalore,128091,65,52,Watch,0
113,Miranda Lang,28,Female,Bangalore,141653,24,56,Tablet,0
114,Sharon Saunders,49,Male,Chennai,89616,37,32,Camera,0
115,Crystal Hardy,31,Male,Mumbai,149318,24,56,Phone,0
116,Maria Horn,26,Female,Mumbai,137718,35,60,Watch,0
117,Jacqueline Sanders MD,42,Male,Chennai,135347,97,42,Watch,0
118,Kelsey Estes,35,Female,Mumbai,94545,19,55,Laptop,0
119,Jaime Kennedy,31,Male,Pune,42898,48,10,Tablet,0
120,Angela May,42,Male,Pune,106935,94,11,Camera,0
121,Kenneth Ruiz,31,Male,Hyderabad,130193,46,41,Laptop,0
122,Patricia Lee,35,Male,Delhi,64301,46,5,Camera,0
123,Jason Evans,35,Female,Mumbai,78767,16,60,Tablet,0
124,Jacob Ward,26,Female,Bangalore,66074,1,55,Tablet,0
125,Tamara Elliott,46,Female,Bangalore,114160,28,1,Watch,1
126,Jennifer Blankenship,21,Female,Mumbai,79883,81,1,Watch,0
127,David Keller,58,Female,Bangalore,68905,77,11,Watch,0
128,Gregory Ramirez,43,Male,Delhi,34097,72,26,Watch,0
129,Timothy Porter,29,Female,Bangalore,75873,35,21,Watch,0
130,Mrs. Brittany Yu DDS,32,Male,Hyderabad,128940,57,33,Headphones,0
131,Evan Gomez,18,Male,Delhi,36966,38,36,Headphones,0
132,David Mitchell,37,Male,Pune,71423,82,21,Camera,0
133,Maria Ramsey,57,Male,Delhi,52256,51,59,Camera,0
134,Thomas Chandler,24,Female,Mumbai,70621,76,56,Tablet,0
135,Deborah Collins,35,Female,Chennai,123899,33,16,Laptop,0
136,Gary Allen,20,Male,Bangalore,129585,21,44,Laptop,0
137,Joseph Simmons,40,Male,Pune,115940,35,35,Laptop,0
138,Eric Meyer,28,Female,Mumbai,23181,56,58,Tablet,0
139,Lorraine Campbell,27,Male,Mumbai,43279,2,38,Watch,0
140,Debbie Smith,30,Female,Bangalore,81416,82,52,Camera,0
141,Eric George MD,31,Female,Pune,129477,22,13,Watch,0
142,Denise Quinn,49,Female,Pune,77602,3,26,Watch,0
143,Heather Byrd,18,Male,Mumbai,79714,53,47,Camera,0
144,Paul Mooney,25,Male,Mumbai,25327,33,23,Tablet,0
145,Michael Ryan,25,Female,Pune,92721,44,33,Phone,0
146,Alexis Reed,38,Male,Hyderabad,48023,77,22,Phone,0
147,Evelyn Landry,38,Male,Delhi,22334,71,36,Tablet,0
148,Lorraine Abbott,53,Male,Hyderabad,149296,19,17,Phone,0
149,Richard Orr,54,Female,Hyderabad,86599,59,47,Phone,0
150,Donald Patterson,39,Female,Bangalore,79091,13,15,Headphones,0
151,Robert Smith,48,Male,Mumbai,39708,48,48,Watch,0
152,Kyle Hill,42,Male,Bangalore,36007,22,30,Phone,0
153,Angela Mendoza,29,Male,Pune,21833,34,39,Camera,0
154,Samantha Lyons,25,Female,Bangalore,72773,65,57,Watch,0
155,Julian Rosales,37,Male,Mumbai,20088,90,56,Watch,0
156,Marcus Owens,34,Male,Chennai,55040,10,15,Phone,0
157,Andrew Ramsey,60,Female,Chennai,71185,90,10,Laptop,0
158,Jeffery Townsend PhD,47,Female,Mumbai,103267,39,26,Laptop,0
159,Dakota Adams,37,Female,Hyderabad,59026,4,5,Camera,1
160,Nicole Patel,50,Female,Chennai,76424,77,56,Watch,0
161,Jeffrey Kelley,19,Female,Hyderabad,62383,6,48,Headphones,0
162,Christine Perez,28,Male,Delhi,52872,35,33,Laptop,0
163,Jennifer Martinez,51,Male,Pune,107774,7,29,Watch,0
164,William Richards,29,Female,Chennai,149037,75,42,Phone,0
165,Brandon Jones,51,Female,Bangalore,40124,53,2,Tablet,0
166,Kelly Parks,40,Female,Bangalore,62552,70,16,Watch,0
167,Paul Joseph,24,Female,Mumbai,60261,5,28,Phone,0
168,Shelby Bell,19,Male,Hyderabad,65673,45,40,Camera,0
169,Tracy Lopez,55,Male,Bangalore,141026,10,17,Camera,0
170,Daniel Knight,51,Female,Chennai,91188,95,29,Headphones,0
171,Carrie Garcia,50,Male,Delhi,31668,49,25,Camera,0
172,Gregory Whitaker,41,Female,Mumbai,71600,90,59,Camera,0
173,Kelly Thompson,53,Male,Chennai,131766,35,22,Camera,0
174,Carlos Davis,30,Female,Bangalore,33939,20,34,Camera,0
175,Steven Miller,30,Male,Chennai,113501,38,10,Phone,1
176,Terri Marks,40,Male,Bangalore,140683,43,28,Camera,0
177,Roger Long,45,Male,Chennai,95924,19,11,Headphones,1
178,Vincent Cochran,43,Male,Pune,122349,12,13,Tablet,0
179,Michael Austin,21,Male,Pune,117112,73,26,Tablet,0
180,Nicholas Clayton,22,Male,Chennai,28660,42,39,Camera,0
181,Stacy Bolton,53,Male,Pune,69429,17,30,Phone,0
182,Darlene Brown,41,Female,Hyderabad,102981,23,60,Headphones,0
183,Victor Johnson MD,20,Female,Hyderabad,95783,8,14,Headphones,0
184,Ian Smith,35,Female,Mumbai,66978,99,33,Tablet,0
185,Vanessa Ruiz,57,Male,Mumbai,29035,33,2,Laptop,1
186,Crystal Francis,31,Male,Bangalore,77849,18,46,Laptop,0
187,Nicholas Stanley,42,Male,Delhi,58719,33,58,Camera,0
188,Margaret Lewis,29,Female,Pune,64939,8,41,Headphones,0
189,Tiffany Perez,50,Female,Hyderabad,65687,1,46,Tablet,0
190,Patrick Shea,42,Male,Chennai,25912,91,13,Laptop,0
191,Ashley Vasquez,58,Male,Bangalore,113039,21,51,Camera,0
192,Peter Higgins,21,Male,Pune,106927,16,42,Laptop,0
193,James Moore,49,Male,Mumbai,38960,46,57,Laptop,0
194,Barbara Hill,25,Male,Delhi,107037,90,55,Tablet,0
195,David Holmes,56,Female,Pune,82246,79,29,Laptop,0
196,Morgan Palmer,25,Male,Bangalore,66430,31,46,Tablet,0
197,April Jordan,48,Male,Hyderabad,86759,86,35,Camera,0
198,James Mcconnell,50,Female,Mumbai,101044,56,12,Headphones,0
199,Brittany Scott,40,Female,Pune,75103,62,6,Laptop,0
200,Christina Hill,41,Female,Bangalore,81954,20,54,Watch,0
201,Mary Mccarty,59,Male,Mumbai,21879,5,34,Laptop,0
202,Natasha Miller,58,Female,Chennai,35491,98,51,Laptop,0
203,Stephanie Price,25,Female,Mumbai,95350,6,4,Phone,1
204,Christopher Mcdonald,43,Female,Delhi,60119,15,46,Watch,0
205,Margaret Martinez,31,Male,Mumbai,135082,4,22,Watch,0
206,Norma Watkins,51,Male,Chennai,42280,13,9,Laptop,1
207,Johnny Jones,18,Male,Delhi,52019,88,19,Phone,0
208,Katherine Cox,59,Female,Pune,125791,95,54,Phone,0
209,Dr. Shawn Sanchez,50,Female,Chennai,130469,39,11,Headphones,1
210,Rebecca Perez,32,Male,Delhi,57834,14,21,Camera,0
211,John Ramirez,58,Male,Mumbai,41967,53,39,Laptop,0
212,Stacy Merritt,34,Male,Bangalore,98895,42,31,Tablet,0
213,Pamela Walton,18,Female,Chennai,118278,44,47,Tablet,0
214,Tracy Lopez,48,Male,Delhi,145154,78,19,Camera,0
215,Dennis Jones,28,Female,Bangalore,30717,53,24,Laptop,0
216,Christine Thomas,57,Female,Hyderabad,120893,93,49,Watch,0
217,David Rodriguez,60,Male,Mumbai,30462,18,27,Tablet,0
218,Travis Wallace,38,Female,Chennai,37558,86,13,Tablet,0
219,Michael Williams,34,Female,Mumbai,115126,26,37,Laptop,0
220,Diana Gallagher,32,Male,Delhi,55132,98,59,Watch,0
221,Mr. Bruce Torres DVM,24,Male,Delhi,46033,59,30,Camera,0
222,Whitney Perez,18,Female,Bangalore,23651,48,57,Laptop,0
223,Jeffrey Graham,38,Male,Delhi,109801,68,15,Camera,0
224,Cindy Bailey,58,Female,Chennai,116864,58,8,Headphones,0
225,George Miller,18,Male,Pune,111005,61,8,Laptop,0
226,Clayton Lawrence,44,Male,Delhi,44871,23,15,Watch,0
227,Tamara Benson,18,Male,Pune,99903,74,52,Headphones,0
228,James Miles,42,Female,Delhi,33876,36,21,Tablet,0
